epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.396394282579422,0.4698962867259979,0.26230382919311523,0.354933500289917
1,0.0010000000474974513,0.2875649333000183,0.3780062198638916,0.22233696281909943,0.3195914924144745
2,0.0010000000474974513,0.2678828835487366,0.35908186435699463,0.22056517004966736,0.31493571400642395
3,0.0010000000474974513,0.2586129903793335,0.3509800434112549,0.21681883931159973,0.3110378682613373
4,0.0010000000474974513,0.25359317660331726,0.34673872590065,0.21292367577552795,0.3123161196708679
5,0.0010000000474974513,0.2488236278295517,0.34283819794654846,0.20900698006153107,0.3084852397441864
6,0.0010000000474974513,0.24584341049194336,0.3405502438545227,0.21175682544708252,0.3088638186454773
7,0.0010000000474974513,0.24196596443653107,0.3367506265640259,0.2092963457107544,0.3025767207145691
8,0.0010000000474974513,0.2405446320772171,0.33649230003356934,0.20536497235298157,0.30193614959716797
9,0.0010000000474974513,0.2377195954322815,0.33427104353904724,0.20221106708049774,0.30111125111579895
10,0.0010000000474974513,0.2395091950893402,0.33503013849258423,0.20790693163871765,0.30338409543037415
11,0.0010000000474974513,0.2351391315460205,0.33173444867134094,0.20262959599494934,0.2981138527393341
12,0.0010000000474974513,0.23580627143383026,0.3329908847808838,0.19714246690273285,0.29570192098617554
13,0.0010000000474974513,0.23415328562259674,0.33173322677612305,0.2043507844209671,0.29704344272613525
14,0.0010000000474974513,0.23518066108226776,0.3319421410560608,0.20469757914543152,0.30571895837783813
15,0.0010000000474974513,0.23126044869422913,0.3289670944213867,0.20232775807380676,0.3000098168849945
16,0.0005000000237487257,0.227058544754982,0.3253076374530792,0.19679512083530426,0.2954246401786804
17,0.0005000000237487257,0.22759005427360535,0.3259458839893341,0.1934237778186798,0.29059332609176636
18,0.0005000000237487257,0.22596506774425507,0.32424765825271606,0.19452890753746033,0.29545730352401733
19,0.0005000000237487257,0.22533319890499115,0.3241109848022461,0.19182686507701874,0.2870028614997864
20,0.0005000000237487257,0.22630427777767181,0.32475200295448303,0.19616548717021942,0.2928943336009979
21,0.0005000000237487257,0.22464615106582642,0.3229357898235321,0.19323846697807312,0.28967005014419556
22,0.0005000000237487257,0.2232036292552948,0.3217827379703522,0.19677673280239105,0.29346877336502075
23,0.0002500000118743628,0.2218608409166336,0.32102492451667786,0.1901828497648239,0.2897161841392517
24,0.0002500000118743628,0.22446003556251526,0.3216959536075592,0.19632136821746826,0.29324769973754883
25,0.0002500000118743628,0.22158706188201904,0.319888710975647,0.19324928522109985,0.2876473069190979
26,0.0001250000059371814,0.21979904174804688,0.31893032789230347,0.18766088783740997,0.28557413816452026
27,0.0001250000059371814,0.21997177600860596,0.31930193305015564,0.1936444193124771,0.2899712920188904
28,0.0001250000059371814,0.2184322327375412,0.31830862164497375,0.19451084733009338,0.2903536856174469
29,0.0001250000059371814,0.21972191333770752,0.3183195888996124,0.19061389565467834,0.2887956500053406
30,6.25000029685907e-05,0.21829910576343536,0.3177034258842468,0.1941601186990738,0.28989577293395996
31,6.25000029685907e-05,0.21872495114803314,0.31810107827186584,0.19316166639328003,0.2900773882865906
32,6.25000029685907e-05,0.21836155652999878,0.3176511526107788,0.18971017003059387,0.2865754961967468
33,3.125000148429535e-05,0.21873974800109863,0.3182242810726166,0.19178473949432373,0.2878442704677582
34,3.125000148429535e-05,0.2193857878446579,0.3186466693878174,0.19156263768672943,0.2877967953681946
