episode_id,split,Accelerometer_mean,Accelerometer_std,Accelerometer_min,Accelerometer_max,Accelerometer_first,Accelerometer_last,Accelerometer_range,GasLeak_mean,GasLeak_std,GasLeak_min,GasLeak_max,GasLeak_first,GasLeak_last,GasLeak_range,Pressure_1_mean,Pressure_1_std,Pressure_1_min,Pressure_1_max,Pressure_1_first,Pressure_1_last,Pressure_1_range,Pressure_2_mean,Pressure_2_std,Pressure_2_min,Pressure_2_max,Pressure_2_first,Pressure_2_last,Pressure_2_range,Temperature_1_mean,Temperature_1_std,Temperature_1_min,Temperature_1_max,Temperature_1_first,Temperature_1_last,Temperature_1_range,Temperature_2_mean,Temperature_2_std,Temperature_2_min,Temperature_2_max,Temperature_2_first,Temperature_2_last,Temperature_2_range
0,train,0.0551344127809607,0.028103312560843908,0.0,0.10000000149011612,5.154899918125011e-05,0.10000000149011612,0.10000000149011612,544.2890462007523,310.2778501839702,0.0,1007.0,0.0,1005.9620361328125,1007.0,1.5648155567282422,0.8009245806594407,0.001482888008467853,3.25,0.001482888008467853,3.25,3.248517111991532,2.523909772432914,0.5761939775417885,0.0012341650435701013,3.25,0.0012341650435701013,3.248232126235962,3.24876583495643,55.18527598907302,31.880023578203968,0.07525687664747238,110.0,0.07525687664747238,109.7824935913086,109.92474312335253,16.10610162565539,25.7183435114574,0.0,110.0,0.0709952712059021,109.95800018310547,110.0
1,test,0.056581896085139305,0.028074105758954675,0.0,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,541.6647197471261,296.449157127209,0.0,1007.0,0.0,1007.0,1007.0,0.9849926664593274,1.0769242307336138,0.0,3.25,0.0,3.25,3.25,1.4707893942687273,0.9100328866307791,0.0,3.25,0.0,3.2483766078948975,3.25,61.37538663485646,32.43914315731085,0.0,110.0,0.44959574937820435,110.0,110.0,58.5848682041963,27.67551423757734,0.0,110.0,0.5109844207763672,110.0,110.0
2,train,0.01775915400254715,0.025302152424165156,0.0,0.10000000149011612,1.3685000340046827e-05,0.09999172389507294,0.10000000149011612,474.32890846375625,304.93970291650027,0.0,1007.0,3.419337272644043,1005.1553955078125,1007.0,0.6007026254435771,0.8645535443997017,0.0,3.25,0.0,3.249730110168457,3.25,1.656552979649064,0.8415383839992997,0.000617276004049927,3.25,0.000617276004049927,3.25,3.24938272399595,76.17931171051661,24.946564955689322,0.0,110.0,0.0,110.0,110.0,56.136783112638554,35.06767420276645,0.0,110.0,0.36946168541908264,109.6744155883789,110.0
3,train,0.05350214836432133,0.02828762714021995,0.0,0.10000000149011612,0.0,0.09999912977218628,0.10000000149011612,544.9058162097931,310.8115993575732,0.0,1007.0,0.0,1007.0,1007.0,2.2077281756929588,0.6895263854517135,0.0014947450254112482,3.25,0.0014947450254112482,3.246128797531128,3.2485052549745888,1.942576706174994,0.8280223613883918,0.0013140670489519835,3.25,0.0013140670489519835,3.2497329711914062,3.248685932951048,86.30969873921076,19.6461065900505,1.186171531677246,110.0,1.186171531677246,109.84212493896484,108.81382846832275,57.39665209038059,31.03436251988453,0.4369141757488251,110.0,0.4369141757488251,110.0,109.56308582425117
4,val,0.015643840636785988,0.025237246496470866,0.0,0.10000000149011612,0.0,0.09999027103185654,0.10000000149011612,516.5507553897698,294.0851129777913,0.0,1007.0,0.25065407156944275,1007.0,1007.0,1.9225492512322961,0.8417992298478059,0.0030198730528354645,3.25,0.0030198730528354645,3.2481067180633545,3.2469801269471645,1.7752257666691245,0.9116130946690717,0.0005340159987099469,3.25,0.0005340159987099469,3.248589277267456,3.24946598400129,52.29051437961062,32.523901822558315,0.0,110.0,0.0,109.8927001953125,110.0,81.66491941078442,24.419325266058852,0.0,110.0,1.084727168083191,109.52566528320312,110.0
5,test,0.0861860108801508,0.013679865845998547,2.490900078555569e-05,0.10000000149011612,2.490900078555569e-05,0.10000000149011612,0.09997509248933056,489.9201884905497,286.53995187640874,0.0,1007.0,0.0,1007.0,1007.0,1.6448166199739789,0.9698377420749836,0.00013999000657349825,3.25,0.00013999000657349825,3.248577833175659,3.2498600099934265,1.9529111213087647,0.8143970247292731,0.0012077389983460307,3.25,0.0012077389983460307,3.25,3.248792261001654,79.56380001838009,23.436164763609874,0.0,110.0,0.0,109.76546478271484,110.0,56.17662136934946,28.664546627236653,0.0,110.0,0.0,109.83802795410156,110.0
6,train,0.016697174852898244,0.024867656469825722,0.0,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,482.667423539559,300.9345682734146,0.0,1007.0,0.0,1007.0,1007.0,2.1650061102066345,0.8336993613827837,0.003340632887557149,3.25,0.003340632887557149,3.25,3.246659367112443,1.7511986461542934,0.8494271315749988,0.0005586260231211782,3.25,0.0005586260231211782,3.249696731567383,3.249441373976879,74.3027986283501,26.866473488030323,0.0,110.0,0.45477235317230225,110.0,110.0,56.36671603604903,32.17363361532094,0.0,110.0,0.42676910758018494,109.81072235107422,110.0
7,train,0.05511022253334522,0.030216735368908728,0.0,0.10000000149011612,0.0,0.09993788599967957,0.10000000149011612,158.3998440935691,247.39613731933886,0.0,1007.0,0.0,1007.0,1007.0,1.820410571286416,1.039873728307923,0.001051192986778915,3.25,0.001051192986778915,3.249743700027466,3.248948807013221,1.82501325086349,0.907816449779053,0.0,3.25,0.0,3.2482357025146484,3.25,49.34771107634902,31.542611769556785,0.3148516118526459,110.0,0.3148516118526459,109.27253723144531,109.68514838814735,76.52990100700657,25.452478659164715,0.0,110.0,0.6043134927749634,109.78099060058594,110.0
8,train,0.052941469186003814,0.029758912622006313,0.0,0.10000000149011612,5.076999968878226e-06,0.10000000149011612,0.10000000149011612,747.0025035510461,195.15742796069614,0.0,1007.0,1.6675773859024048,1007.0,1007.0,3.0594438911097677,0.25902107336944874,3.2903000828810036e-05,3.25,0.002941821003332734,3.245867967605591,3.249967096999171,1.832188804076075,0.9579726483243468,0.0001036870016832836,3.25,0.0001036870016832836,3.25,3.2498963129983167,89.40993629137675,19.676182477045487,0.0,110.0,0.0,108.99588775634766,110.0,60.70876348964373,32.75237940570351,0.0,110.0,0.0,110.0,110.0
9,train,0.03673165625870911,0.030639369653407092,0.0,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,511.81770397386947,305.57988954324986,0.0,1007.0,0.0,1004.9309692382812,1007.0,0.8570060818737704,0.91610983195005,0.0,3.25,0.00045287900138646364,3.25,3.25,2.9523790254555644,0.31344177252063604,0.0,3.25,0.0,3.2497503757476807,3.25,69.1825373707215,29.269643529201684,0.0,110.0,0.0,109.36752319335938,110.0,56.73399060231447,29.03960454509364,0.6137692332267761,110.0,0.6137692332267761,109.88835906982422,109.38623076677322
10,test,0.04975948060983986,0.02893224897663073,5.6971999583765864e-05,0.10000000149011612,5.6971999583765864e-05,0.10000000149011612,0.09994302949053235,429.23208008003235,286.94972748998276,0.0,1007.0,0.6434918642044067,1007.0,1007.0,1.6660318112711732,0.8935929227844883,0.0004920950159430504,3.25,0.0004920950159430504,3.25,3.249507904984057,1.7565331303290246,0.9000572518434418,0.0020792779978364706,3.25,0.0020792779978364706,3.248652458190918,3.2479207220021635,56.33933279730613,33.27144223948334,0.0,110.0,0.24733048677444458,109.4267349243164,110.0,60.97911233486235,29.03750294277854,0.0,110.0,0.0,110.0,110.0
11,train,0.054838582377550966,0.0301080576624149,0.0,0.10000000149011612,0.0,0.09989222884178162,0.10000000149011612,604.954015672048,267.43026841520737,0.0,1007.0,0.0,1007.0,1007.0,0.5932480803929169,0.847746226871511,0.0,3.25,0.0,3.25,3.25,1.8524997249586352,0.7995178988111026,0.0010229849722236395,3.25,0.0010229849722236395,3.249727487564087,3.2489770150277764,51.956186628932755,32.01270064748588,0.0,110.0,0.0,110.0,110.0,65.55303732442856,30.488036595006147,0.0,110.0,0.0,110.0,110.0
12,train,0.04895489543184279,0.026615094977345162,9.348699677502736e-05,0.10000000149011612,9.348699677502736e-05,0.10000000149011612,0.09990651449334109,522.1613216275672,280.94166901144047,0.0,1007.0,0.0,1005.7676391601562,1007.0,1.9533409364614636,0.9774622843483481,0.0,3.25,0.0,3.2475037574768066,3.25,1.178398686269707,1.0086556784070158,0.0,3.25,0.00019429900567047298,3.25,3.25,26.026211416906524,28.31882225966351,0.0,110.0,0.0,110.0,110.0,51.24583042661349,30.440785358428318,0.0,110.0,0.0,109.72117614746094,110.0
13,val,0.05390201382028742,0.031081076338511582,2.413199945294764e-05,0.10000000149011612,2.413199945294764e-05,0.09998928010463715,0.09997586949066317,532.8351271419127,270.0397569402797,0.0,1007.0,0.0,1006.4544067382812,1007.0,0.5742176614240343,0.8119765380612018,0.0,3.25,0.00010008100070990622,3.25,3.25,1.6653657838472864,0.9175457586790454,0.0,3.25,0.0002548809861764312,3.248889207839966,3.25,21.76723985636855,30.217570838509783,0.0,110.0,0.14448146522045135,110.0,110.0,58.477201275746026,30.1807324600892,0.0,110.0,0.630558431148529,109.43016052246094,110.0
