epoch,loss,mae,val_loss,val_mae
0,0.0757930725812912,0.1615510880947113,0.01232626847922802,0.0831592008471489
1,0.011484980583190918,0.07959455251693726,0.011412488296627998,0.07833793014287949
2,0.011069591157138348,0.07763535529375076,0.01114665623754263,0.07793346792459488
3,0.010757720097899437,0.0764443427324295,0.01097874715924263,0.07787769287824631
4,0.01064093317836523,0.0760873407125473,0.010866453871130943,0.07773978263139725
5,0.010710103437304497,0.07612858712673187,0.011395974084734917,0.07901277393102646
6,0.01054212637245655,0.07571213692426682,0.010805300436913967,0.07609407603740692
7,0.01046702079474926,0.0753735676407814,0.010748607106506824,0.0758005827665329
8,0.010351060889661312,0.07508843392133713,0.01083438191562891,0.07731973379850388
9,0.010328317061066628,0.0748995691537857,0.010745814070105553,0.07643242180347443
10,0.009863506071269512,0.07290183007717133,0.010255328379571438,0.07449859380722046
11,0.010056735947728157,0.07335581630468369,0.010385069996118546,0.0740763396024704
12,0.00997184868901968,0.0731334537267685,0.010332787409424782,0.0742960050702095
13,0.010103125125169754,0.07354283332824707,0.010416296310722828,0.07494856417179108
14,0.009728364646434784,0.07234320789575577,0.01028432883322239,0.07394792884588242
15,0.0097513971850276,0.07210682332515717,0.01025099866092205,0.0733216255903244
16,0.009797618724405766,0.0723002552986145,0.010341258719563484,0.07391424477100372
17,0.009785388596355915,0.07216038554906845,0.010050414130091667,0.07387516647577286
18,0.009558571502566338,0.07143101841211319,0.010038883425295353,0.07316417992115021
19,0.009666964411735535,0.07158846408128738,0.009977654553949833,0.07353483140468597
