epoch,loss,mae,val_loss,val_mae
0,0.07559777796268463,0.18218137323856354,0.036279357969760895,0.14255154132843018
1,0.030648333951830864,0.12890909612178802,0.032699450850486755,0.13132545351982117
2,0.029579948633909225,0.12628966569900513,0.03154969587922096,0.13101047277450562
3,0.02872348204255104,0.123744897544384,0.02969026193022728,0.12525512278079987
4,0.027366863563656807,0.12135541439056396,0.030765021219849586,0.12801319360733032
5,0.027601508423686028,0.12121666222810745,0.03092268668115139,0.12822219729423523
6,0.026186762377619743,0.11773332208395004,0.030391355976462364,0.1252911239862442
7,0.02555142715573311,0.1166749969124794,0.029722684994339943,0.12206275761127472
8,0.025052977725863457,0.11580067873001099,0.029306907206773758,0.12234816700220108
9,0.024970021098852158,0.11525602638721466,0.029109209775924683,0.1222618967294693
10,0.024307863786816597,0.11345849186182022,0.0280989408493042,0.12084756791591644
11,0.0243375301361084,0.11353856325149536,0.02826349437236786,0.12094876915216446
12,0.02428184635937214,0.11320749670267105,0.02786989137530327,0.12044642120599747
13,0.024240002036094666,0.11279158294200897,0.02808115817606449,0.12069453299045563
14,0.02381877601146698,0.1122751384973526,0.028634583577513695,0.12052083015441895
15,0.02329731173813343,0.111107736825943,0.027393480762839317,0.1184060350060463
16,0.023431576788425446,0.11086748540401459,0.029023539274930954,0.1217072382569313
17,0.023596560582518578,0.11123394966125488,0.02828865870833397,0.12041264772415161
18,0.023047879338264465,0.11015576869249344,0.02781432494521141,0.11926193535327911
19,0.023415107280015945,0.11081741005182266,0.02843744121491909,0.12015040963888168
