horizon,cnn1d,gru,gru_reg,lstm
3s,4.359881775308277,3.692497190502472,,3.9286582469940186
9s,5.4673509966731695,4.865503940022985,,4.999647213593622
30s,8.087456194303556,7.283082741461695,,7.436020453608905
60s,10.434155720633763,9.627659591779237,16.370920181274414,9.728864285136014
120s,13.799977508883053,13.014061084501321,19.035341262817383,13.898020379173387
