epoch,loss,mae,val_loss,val_mae
0,0.06106435880064964,0.13843242824077606,0.007653707172721624,0.06509657204151154
1,0.007031770423054695,0.06234652176499367,0.007118656300008297,0.06237897276878357
2,0.00665590213611722,0.060332875698804855,0.00670478492975235,0.06033456325531006
3,0.006424671038985252,0.059188004583120346,0.006775324698537588,0.060888469219207764
4,0.006430594716221094,0.05883460491895676,0.006523949559777975,0.058445196598768234
5,0.006427961401641369,0.058730728924274445,0.006785048637539148,0.060518987476825714
6,0.006360305473208427,0.05848139524459839,0.006481940392404795,0.05906778573989868
7,0.006386048626154661,0.05853145569562912,0.006644426845014095,0.059228986501693726
8,0.006309970282018185,0.058303527534008026,0.006464638747274876,0.058574628084897995
9,0.006264938041567802,0.057877637445926666,0.006382165942341089,0.0581115297973156
10,0.006282802205532789,0.05793272703886032,0.006261959671974182,0.05806919187307358
11,0.006189493928104639,0.057458698749542236,0.006376196630299091,0.059192389249801636
12,0.006269604898989201,0.057773884385824203,0.006358398590236902,0.0577252097427845
13,0.006255507003515959,0.05784419924020767,0.006752174347639084,0.06016170233488083
14,0.006260143127292395,0.057963576167821884,0.006400647573173046,0.058178238570690155
15,0.006196801085025072,0.05747487396001816,0.0062036532908678055,0.057244133204221725
16,0.006144220475107431,0.05736245959997177,0.006534039042890072,0.059129249304533005
17,0.006217889487743378,0.057661864906549454,0.006336342543363571,0.05754590779542923
18,0.006193884182721376,0.057294055819511414,0.006256295833736658,0.057256828993558884
19,0.006224979646503925,0.05764027312397957,0.006439008750021458,0.058963846415281296
