epoch,loss,mae,val_loss,val_mae
0,0.08303014934062958,0.18545003235340118,0.0300984438508749,0.12622995674610138
1,0.027732480317354202,0.1222665011882782,0.028345948085188866,0.12233956903219223
2,0.026439310982823372,0.11885274201631546,0.026792651042342186,0.11961424350738525
3,0.025420457124710083,0.11586853116750717,0.025908907875418663,0.11670529842376709
4,0.02426079288125038,0.1134323999285698,0.02567332610487938,0.11656828224658966
5,0.02408566325902939,0.11231643706560135,0.02535894885659218,0.1145484447479248
6,0.02332490310072899,0.11062008142471313,0.02548404410481453,0.11437995731830597
7,0.02260855957865715,0.10940299928188324,0.025067243725061417,0.1121416836977005
8,0.02199714630842209,0.10786978155374527,0.024414043873548508,0.11280409246683121
9,0.021656256169080734,0.10692043602466583,0.024164501577615738,0.11348338425159454
10,0.020832128822803497,0.10472134500741959,0.02329108864068985,0.1094510555267334
11,0.02093939483165741,0.10479508340358734,0.0234186090528965,0.10957302898168564
12,0.020724279806017876,0.10433541983366013,0.023461444303393364,0.11023751646280289
13,0.020419711247086525,0.10312428325414658,0.023265453055500984,0.10901160538196564
14,0.020075136795639992,0.10277550667524338,0.023367777466773987,0.10838673263788223
15,0.019937759265303612,0.10244120657444,0.022989092394709587,0.10768363624811172
16,0.0200889240950346,0.10249296575784683,0.024117933586239815,0.11039016395807266
17,0.020099453628063202,0.10254483669996262,0.02336825616657734,0.10899721086025238
18,0.0196797214448452,0.10153881460428238,0.023165948688983917,0.10849817097187042
19,0.020068172365427017,0.10226954519748688,0.02344285137951374,0.10877182334661484
