epoch,loss,mae,val_loss,val_mae
0,0.05559422820806503,0.13364261388778687,0.010803358629345894,0.07860957086086273
1,0.009708566591143608,0.07296758145093918,0.00951467640697956,0.07128309458494186
2,0.009327816776931286,0.07073137909173965,0.009479936212301254,0.0702853575348854
3,0.009181898087263107,0.06970445066690445,0.008888164535164833,0.06972045451402664
4,0.008725631050765514,0.06833255290985107,0.009318635798990726,0.06936755776405334
5,0.008836542256176472,0.06820442527532578,0.009441034868359566,0.06993473321199417
6,0.008706663735210896,0.06785010546445847,0.00872070249170065,0.06868009269237518
7,0.0085141034796834,0.06714754551649094,0.009855220094323158,0.07445833832025528
8,0.008593336679041386,0.06754609942436218,0.008761151693761349,0.06811685860157013
9,0.008557002060115337,0.06749606132507324,0.00872067641466856,0.06796927750110626
10,0.008363976143300533,0.06649760901927948,0.008501887321472168,0.06661927700042725
11,0.008485003374516964,0.0670667365193367,0.008917562663555145,0.0696328803896904
12,0.008499473333358765,0.06679229438304901,0.008665669709444046,0.06679214537143707
13,0.008183013647794724,0.06459776312112808,0.008362005464732647,0.06587160378694534
14,0.007869838736951351,0.06420028954744339,0.008371171541512012,0.06522504985332489
15,0.007955028675496578,0.06431230157613754,0.00818585604429245,0.06539441645145416
16,0.007933917455375195,0.06417707353830338,0.008390064351260662,0.06552646309137344
17,0.007890606299042702,0.06360751390457153,0.008107314817607403,0.06456635892391205
18,0.007704629097133875,0.06312441825866699,0.007935433648526669,0.06487427651882172
19,0.007734376005828381,0.06301042437553406,0.00810234248638153,0.06483815610408783
