epoch,loss,mae,val_loss,val_mae
0,0.11534221470355988,0.23650118708610535,0.0572739914059639,0.1728808581829071
1,0.0539233461022377,0.16806253790855408,0.05274592712521553,0.16481520235538483
2,0.049918033182621,0.16076616942882538,0.0495140478014946,0.1610536277294159
3,0.04576530307531357,0.1538335531949997,0.04551755264401436,0.15302196145057678
4,0.042354024946689606,0.1484183967113495,0.04491134360432625,0.15185242891311646
5,0.04151260852813721,0.14611972868442535,0.04471912607550621,0.1510673463344574
6,0.040016770362854004,0.14420288801193237,0.044390104711055756,0.15112528204917908
7,0.03836754336953163,0.14200586080551147,0.045043349266052246,0.14848783612251282
8,0.03760332614183426,0.14022307097911835,0.04411421716213226,0.1493702083826065
9,0.037279173731803894,0.13952764868736267,0.043898459523916245,0.1499931514263153
10,0.03553568944334984,0.1361899971961975,0.042301736772060394,0.14766959846019745
11,0.03547009453177452,0.13592639565467834,0.04313144087791443,0.147303968667984
12,0.03547937050461769,0.1360672563314438,0.042888008058071136,0.1489919275045395
13,0.03497331961989403,0.13522228598594666,0.042973801493644714,0.14851048588752747
14,0.03391314670443535,0.1326807588338852,0.0422196090221405,0.1453927457332611
15,0.03368714079260826,0.13271500170230865,0.04223836213350296,0.14538225531578064
16,0.03369447961449623,0.13242803514003754,0.04400079324841499,0.1473848819732666
17,0.033380914479494095,0.1319545954465866,0.04258706420660019,0.14626537263393402
18,0.032979998737573624,0.1313120722770691,0.042564507573843,0.1451587826013565
19,0.033470042049884796,0.13184884190559387,0.043807581067085266,0.14770738780498505
