horizon,mae_Accelerometer,mae_GasLeak,mae_Pressure_1,mae_Pressure_2,mae_Temperature_1,mae_Temperature_2
3s,0.0017323499750345945,18.02278830566406,0.05868033323287964,0.0555841877579689,1.9325933414459229,2.083604624938965
30s,0.0035625985771417616,35.566308856201175,0.1178662672996521,0.11485775928497315,3.967679446411133,3.9282215209960936
60s,0.0045650594301521775,46.756369665527345,0.16076766719818114,0.148773987865448,5.294794023132324,5.400687147521973
120s,0.006116631033271551,63.002413793945315,0.2236228819847107,0.2006997570514679,7.400610736083984,7.25090270690918
9s,0.0023378068625926974,23.70206566772461,0.07898156583309174,0.07499952424764633,2.6283008476257326,2.7063382278442383
