horizon,cnn1d,gru,lstm
3s,4.359881775308277,3.692497190502472,3.9286582469940186
6s,5.043201556121124,4.31669070870094,4.415818652635068
30s,8.087456194303556,7.283082741461695,7.436020453608905
60s,10.434155720633763,9.627659591779237,9.728864285136014
120s,13.799977508883053,13.014061084501321,13.898020379173387
